YearMonth,Rainfall,Temperature,Humidity,Year,Month,State
199701,1.03,22.79,71.38,1997,1,andhra pradesh
199702,0.0,25.8,62.29,1997,2,andhra pradesh
199703,0.22,29.84,54.77,1997,3,andhra pradesh
199704,1.23,30.84,57.35,1997,4,andhra pradesh
199705,0.35,34.52,44.43,1997,5,andhra pradesh
199706,1.58,32.65,51.93,1997,6,andhra pradesh
199707,5.26,29.43,68.14,1997,7,andhra pradesh
199708,3.29,28.93,69.28,1997,8,andhra pradesh
199709,9.87,27.52,81.87,1997,9,andhra pradesh
199710,2.11,26.83,79.93,1997,10,andhra pradesh
199711,6.53,25.62,86.29,1997,11,andhra pradesh
199712,3.4,24.1,85.72,1997,12,andhra pradesh
199801,0.28,24.18,77.45,1998,1,andhra pradesh
199802,0.1,26.95,66.42,1998,2,andhra pradesh
199803,0.0,30.34,58.91,1998,3,andhra pradesh
199804,0.28,32.43,55.9,1998,4,andhra pradesh
199805,0.1,35.52,45.81,1998,5,andhra pradesh
199806,2.08,32.3,57.42,1998,6,andhra pradesh
199807,3.47,29.78,68.2,1998,7,andhra pradesh
199808,4.87,28.53,78.05,1998,8,andhra pradesh
199809,6.89,27.85,81.4,1998,9,andhra pradesh
199810,7.15,26.2,86.01,1998,10,andhra pradesh
199811,3.33,24.39,84.92,1998,11,andhra pradesh
199812,0.09,21.18,76.59,1998,12,andhra pradesh
199901,0.01,22.74,69.47,1999,1,andhra pradesh
199902,0.14,26.76,62.22,1999,2,andhra pradesh
199903,0.0,30.59,53.17,1999,3,andhra pradesh
199904,0.12,32.61,52.07,1999,4,andhra pradesh
199905,0.85,32.65,54.32,1999,5,andhra pradesh
199906,1.49,30.95,55.75,1999,6,andhra pradesh
199907,3.23,29.47,65.68,1999,7,andhra pradesh
199908,2.8,28.99,68.8,1999,8,andhra pradesh
199909,2.52,28.5,72.28,1999,9,andhra pradesh
199910,3.53,26.75,79.99,1999,10,andhra pradesh
199911,1.18,25.31,68.91,1999,11,andhra pradesh
199912,0.1,23.94,66.72,1999,12,andhra pradesh
200001,0.0,25.4,62.06,2000,1,andhra pradesh
200002,2.53,26.97,67.58,2000,2,andhra pradesh
