State,Commodity Group,Commodity,Date,Arrival,Arrival Unit,Price,Price Unit
Andhra Pradesh,Cereals,Bajra,2024-11-26,2.0,Metric Tonnes,2121.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-11-27,1.5,Metric Tonnes,2133.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-11-29,1.5,Metric Tonnes,2151.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-02,0.5,Metric Tonnes,2111.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-03,3.3,Metric Tonnes,2191.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-04,5.2,Metric Tonnes,2201.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-10,0.6,Metric Tonnes,2171.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-12,0.6,Metric Tonnes,2211.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-13,1.9,Metric Tonnes,2304.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-16,0.8,Metric Tonnes,2291.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-17,0.1,Metric Tonnes,2209.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-18,0.5,Metric Tonnes,2329.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-20,1.4,Metric Tonnes,2109.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-21,0.7,Metric Tonnes,2349.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-23,1.5,Metric Tonnes,1959.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-24,1.4,Metric Tonnes,2389.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-26,1.0,Metric Tonnes,2556.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2024-12-31,10.6,Metric Tonnes,2379.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-06,8.2,Metric Tonnes,2246.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-07,3.3,Metric Tonnes,2750.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-08,2.8,Metric Tonnes,2259.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-09,9.0,Metric Tonnes,2711.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-10,7.3,Metric Tonnes,2319.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-11,6.9,Metric Tonnes,2159.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-16,2.3,Metric Tonnes,2019.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-17,2.1,Metric Tonnes,2249.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-18,3.9,Metric Tonnes,2109.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-20,1.8,Metric Tonnes,2311.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-21,4.7,Metric Tonnes,2269.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-22,0.7,Metric Tonnes,2269.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-23,2.0,Metric Tonnes,2159.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-24,5.2,Metric Tonnes,2427.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-25,0.2,Metric Tonnes,2119.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-27,2.9,Metric Tonnes,2539.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-28,0.8,Metric Tonnes,2229.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-30,2.0,Metric Tonnes,2139.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-01-31,1.5,Metric Tonnes,2169.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-03,1.0,Metric Tonnes,2307.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-04,1.0,Metric Tonnes,2196.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-06,0.9,Metric Tonnes,2351.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-10,0.4,Metric Tonnes,2011.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-12,0.3,Metric Tonnes,2109.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-13,0.5,Metric Tonnes,2069.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-17,0.3,Metric Tonnes,2159.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-18,0.8,Metric Tonnes,2196.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-19,0.7,Metric Tonnes,2111.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-20,0.2,Metric Tonnes,2211.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-21,0.7,Metric Tonnes,2311.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-22,0.3,Metric Tonnes,2119.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-02-25,0.7,Metric Tonnes,2219.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-01,0.6,Metric Tonnes,2069.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-03,1.3,Metric Tonnes,2211.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-04,2.1,Metric Tonnes,2069.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-06,1.6,Metric Tonnes,2359.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-08,0.4,Metric Tonnes,2069.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-11,1.2,Metric Tonnes,2419.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-13,3.2,Metric Tonnes,2309.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-18,0.3,Metric Tonnes,2211.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-19,0.4,Metric Tonnes,1929.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-20,0.2,Metric Tonnes,2019.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-21,0.4,Metric Tonnes,2359.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-24,0.3,Metric Tonnes,2270.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-03-25,0.2,Metric Tonnes,2239.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-03,0.1,Metric Tonnes,2209.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-07,1.1,Metric Tonnes,2400.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-09,0.3,Metric Tonnes,2219.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-10,3.0,Metric Tonnes,2419.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-12,0.7,Metric Tonnes,2119.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-16,0.1,Metric Tonnes,2200.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-17,1.0,Metric Tonnes,2401.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-19,1.5,Metric Tonnes,2349.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-21,0.2,Metric Tonnes,2279.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-22,1.1,Metric Tonnes,2372.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-23,0.1,Metric Tonnes,2219.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-04-25,0.1,Metric Tonnes,1919.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-05-02,1.8,Metric Tonnes,1509.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-05-05,2.9,Metric Tonnes,2349.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-05-06,0.7,Metric Tonnes,2196.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-05-07,0.6,Metric Tonnes,2169.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-05-10,0.9,Metric Tonnes,2069.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-05-13,0.5,Metric Tonnes,2209.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-05-15,0.3,Metric Tonnes,2071.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-05-16,0.5,Metric Tonnes,2000.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-05-24,0.4,Metric Tonnes,1450.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-05-30,3.3,Metric Tonnes,1500.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-05-31,0.9,Metric Tonnes,1350.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-06-03,2.5,Metric Tonnes,2070.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-06-04,0.2,Metric Tonnes,1350.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-06-14,0.1,Metric Tonnes,1920.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-06-16,0.8,Metric Tonnes,1500.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-06-18,0.3,Metric Tonnes,2350.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-06-21,1.5,Metric Tonnes,1500.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-06-30,0.1,Metric Tonnes,2050.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-07-01,2.0,Metric Tonnes,1500.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-07-08,0.6,Metric Tonnes,2212.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-07-25,0.2,Metric Tonnes,2339.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-08-12,0.5,Metric Tonnes,1700.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-08-28,0.5,Metric Tonnes,2610.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-08-29,1.9,Metric Tonnes,2520.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-08-30,0.4,Metric Tonnes,2390.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-09-01,8.8,Metric Tonnes,2330.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-09-02,9.5,Metric Tonnes,2159.0,Rs./Quintal
Andhra Pradesh,Cereals,Bajra,2025-09-06,3.1,Metric Tonnes,2251.0,Rs./Quintal
