Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Rainfall,Temperature,Humidity
Arhar/Tur,1997,Kharif,assam,6637.0,4685,2051.4,631643.29,2057.47,0.710434783,29.169999999999998,26.907999999999998,81.388
Castor seed,1997,Kharif,assam,796.0,22,2051.4,75755.32,246.76,0.238333333,29.169999999999998,26.907999999999998,81.388
Cotton(lint),1997,Kharif,assam,1739.0,794,2051.4,165500.63,539.09,0.420909091,29.169999999999998,26.907999999999998,81.388
Gram,1997,Rabi,assam,2979.0,1507,2051.4,283511.43,923.49,0.465454545,4.45,18.678,61.77
Jute,1997,Kharif,assam,94520.0,904095,2051.4,8995468.4,29301.2,9.919565217,29.169999999999998,26.907999999999998,81.388
Linseed,1997,Rabi,assam,10098.0,5158,2051.4,961026.66,3130.38,0.461363636,4.45,18.678,61.77
Maize,1997,Kharif,assam,19216.0,14721,2051.4,1828786.72,5956.96,0.615652174,29.169999999999998,26.907999999999998,81.388
Mesta,1997,Kharif,assam,5915.0,29003,2051.4,562930.55,1833.65,4.568947368,29.169999999999998,26.907999999999998,81.388
Other  Rabi pulses,1997,Rabi,assam,108297.0,58272,2051.4,10306625.49,33572.07,0.520869565,4.45,18.678,61.77
Rapeseed &Mustard,1997,Rabi,assam,279292.0,154772,2051.4,26580219.64,86580.52,0.554782609,4.45,18.678,61.77
Rice,1997,Summer,assam,174974.0,209623,2051.4,16652275.58,54241.94,1.060434783,8.37,27.05,60.239999999999995
Small millets,1997,Kharif,assam,10490.0,5391,2051.4,998333.3,3251.9,0.473,29.169999999999998,26.907999999999998,81.388
Sugarcane,1997,Kharif,assam,31318.0,1287451,2051.4,2980534.06,9708.58,41.89695652,29.169999999999998,26.907999999999998,81.388
Wheat,1997,Rabi,assam,84698.0,110054,2051.4,8060708.66,26256.38,1.25952381,4.45,18.678,61.77
Arhar/Tur,1997,Kharif,karnataka,421810.0,98473,1266.7,40143657.7,130761.1,0.268235294,12.89,25.268,74.636
Bajra,1997,Kharif,karnataka,301149.0,132056,1266.7,28660350.33,93356.19,0.404545455,12.89,25.268,74.636
Bajra,1997,Summer,karnataka,820.0,662,1266.7,78039.4,254.2,0.81,1.43,29.975,43.09
Black pepper,1997,Kharif,karnataka,3825.0,924,1266.7,364025.25,1185.75,0.4375,12.89,25.268,74.636
Dry chillies,1997,Kharif,karnataka,186579.0,139206,1266.7,17756723.43,57839.49,1.078333333,12.89,25.268,74.636
Dry chillies,1997,Rabi,karnataka,4565.0,7895,1266.7,434451.05,1415.15,1.869444444,3.43,25.444,55.529999999999994
Ginger,1997,Kharif,karnataka,3619.0,4745,1266.7,344420.23,1121.89,1.262307692,12.89,25.268,74.636
Groundnut,1997,Kharif,karnataka,847666.0,525562,1266.7,80672373.22,262776.46,0.709411765,12.89,25.268,74.636
Groundnut,1997,Rabi,karnataka,192416.0,181071,1266.7,18312230.72,59648.96,1.133333333,3.43,25.444,55.529999999999994
Horse-gram,1997,Kharif,karnataka,178872.0,80124,1266.7,17023248.24,55450.32,0.45,12.89,25.268,74.636
Horse-gram,1997,Rabi,karnataka,163173.0,82572,1266.7,15529174.41,50583.63,0.514705882,3.43,25.444,55.529999999999994
Jowar,1997,Kharif,karnataka,389690.0,516093,1266.7,37086797.3,120803.9,1.228,12.89,25.268,74.636
Jowar,1997,Rabi,karnataka,1501172.0,722773,1266.7,142866539.2,465363.32,0.510714286,3.43,25.444,55.529999999999994
Jowar,1997,Summer,karnataka,6137.0,15135,1266.7,584058.29,1902.47,2.470909091,1.43,29.975,43.09
Maize,1997,Kharif,karnataka,502797.0,1391132,1266.7,47851190.49,155867.07,2.687777778,12.89,25.268,74.636
Maize,1997,Rabi,karnataka,48844.0,98932,1266.7,4648483.48,15141.64,1.98,3.43,25.444,55.529999999999994
Maize,1997,Summer,karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.165714286,1.43,29.975,43.09
Ragi,1997,Kharif,karnataka,897921.0,1214282,1266.7,85455141.57,278355.51,1.191333333,12.89,25.268,74.636
Ragi,1997,Rabi,karnataka,27104.0,33696,1266.7,2579487.68,8402.24,1.312222222,3.43,25.444,55.529999999999994
Ragi,1997,Summer,karnataka,13521.0,25035,1266.7,1286793.57,4191.51,1.847777778,1.43,29.975,43.09
Rice,1997,Kharif,karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.2335,12.89,25.268,74.636
Rice,1997,Rabi,karnataka,53889.0,109350,1266.7,5128616.13,16705.59,2.073846154,3.43,25.444,55.529999999999994
Rice,1997,Summer,karnataka,268044.0,762759,1266.7,25509747.48,83093.64,2.829444444,1.43,29.975,43.09
Wheat,1997,Rabi,karnataka,250698.0,118512,1266.7,23858928.66,77716.38,0.548333333,3.43,25.444,55.529999999999994
Bajra,1997,Kharif,west bengal,207.0,95,1852.9,19700.19,64.17,0.426666667,35.95,27.932,83.772
Cotton(lint),1997,Kharif,west bengal,26000.0,52000,1852.9,2474420.0,8060.0,2.0,35.95,27.932,83.772
Gram,1997,Rabi,west bengal,25485.0,16994,1852.9,2425407.45,7900.35,0.5975,7.91,20.788,64.518
Horse-gram,1997,Kharif,west bengal,5645.0,2556,1852.9,537234.65,1749.95,0.438888889,35.95,27.932,83.772
Jute,1997,Kharif,west bengal,641574.0,7549700,1852.9,61058597.58,198887.94,13.44588235,35.95,27.932,83.772
Khesari,1997,Rabi,west bengal,25261.0,28460,1852.9,2404089.37,7830.91,1.095882353,7.91,20.788,64.518
Masoor,1997,Rabi,west bengal,51202.0,35040,1852.9,4872894.34,15872.62,0.662352941,7.91,20.788,64.518
Mesta,1997,Kharif,west bengal,9689.0,89000,1852.9,922102.13,3003.59,9.154166667,35.95,27.932,83.772
Moong(Green Gram),1997,Kharif,west bengal,1490.0,711,1852.9,141803.3,461.9,0.548888889,35.95,27.932,83.772
Moong(Green Gram),1997,Rabi,west bengal,3269.0,1710,1852.9,311110.73,1013.39,0.542857143,7.91,20.788,64.518
Moong(Green Gram),1997,Summer,west bengal,9959.0,303,1852.9,947798.03,3087.29,0.046,7.0600000000000005,30.345,61.015
Niger seed,1997,Rabi,west bengal,50808100.0,38657300,1852.9,4835406877.0,15750511.0,0.698888889,7.91,20.788,64.518
Other Kharif pulses,1997,Kharif,west bengal,1279.0,725,1852.9,121722.43,396.49,0.585,35.95,27.932,83.772
Rice,1997,Summer,west bengal,1206829.0,3569520,1852.9,114853915.9,374116.99,2.843888889,7.0600000000000005,30.345,61.015
Soyabean,1997,Kharif,west bengal,1555.0,1172,1852.9,147989.35,482.05,1.196666667,35.95,27.932,83.772
Urad,1997,Kharif,west bengal,69271.0,44480,1852.9,6592521.07,21474.01,1.825,35.95,27.932,83.772
Urad,1997,Rabi,west bengal,16694.0,10553,1852.9,1588767.98,5175.14,0.628333333,7.91,20.788,64.518
Wheat,1997,Rabi,west bengal,367374.0,810480,1852.9,34962983.58,113885.94,1.886666667,7.91,20.788,64.518
Arecanut,1998,Kharif,puducherry,66.0,23,1434.5875,6520.8,19.14,0.35,15.52,29.157999999999998,75.102
Bajra,1998,Kharif,puducherry,149.0,324,1434.5875,14721.2,43.21,2.17,15.52,29.157999999999998,75.102
Black pepper,1998,Kharif,puducherry,12.0,7,1434.5875,1185.6,3.48,0.58,15.52,29.157999999999998,75.102
Coriander,1998,Kharif,puducherry,2.0,1,1434.5875,197.6,0.58,0.5,15.52,29.157999999999998,75.102
Cotton(lint),1998,Summer,puducherry,453.0,372,1434.5875,44756.4,131.37,0.84,2.6300000000000003,30.634999999999998,71.28999999999999
Dry chillies,1998,Kharif,puducherry,8.0,23,1434.5875,790.4,2.32,2.75,15.52,29.157999999999998,75.102
Groundnut,1998,Rabi,puducherry,1046.0,2062,1434.5875,103344.8,303.34,1.54,18.919999999999998,26.145999999999997,77.946
Onion,1998,Kharif,puducherry,26.0,429,1434.5875,2568.8,7.54,16.5,15.52,29.157999999999998,75.102
Ragi,1998,Kharif,puducherry,112.0,366,1434.5875,11065.6,32.48,3.27,15.52,29.157999999999998,75.102
Rice,1998,Kharif,puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.46,15.52,29.157999999999998,75.102
Rice,1998,Rabi,puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555,18.919999999999998,26.145999999999997,77.946
Rice,1998,Summer,puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55,2.6300000000000003,30.634999999999998,71.28999999999999
Sesamum,1998,Kharif,puducherry,147.0,120,1434.5875,14523.6,42.63,0.806666667,15.52,29.157999999999998,75.102
Small millets,1998,Kharif,puducherry,4.0,3,1434.5875,395.2,1.16,0.75,15.52,29.157999999999998,75.102
Sugarcane,1998,Kharif,puducherry,2710.0,232369,1434.5875,267748.0,785.9,82.595,15.52,29.157999999999998,75.102
Tapioca,1998,Kharif,puducherry,649.0,19110,1434.5875,64121.2,188.21,20.0,15.52,29.157999999999998,75.102
Arhar/Tur,1998,Kharif,assam,7657.0,5389,2354.4,756511.6,2220.53,0.709130435,32.839999999999996,27.7,82.88199999999999
Castor seed,1998,Kharif,assam,1728.0,708,2354.4,170726.4,501.12,0.411428571,32.839999999999996,27.7,82.88199999999999
Cotton(lint),1998,Kharif,assam,1652.0,751,2354.4,163217.6,479.08,0.399130435,32.839999999999996,27.7,82.88199999999999
Gram,1998,Rabi,assam,3002.0,1503,2354.4,296597.6,870.58,0.460454545,1.15,20.18,55.09400000000001
