State,Commodity Group,Commodity,Date,Arrival,Arrival Unit,Price,Price Unit
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-02,39.5,Metric Tonnes,4770.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-04,82.7,Metric Tonnes,4295.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-05,109.0,Metric Tonnes,4689.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-06,68.1,Metric Tonnes,4500.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-07,38.8,Metric Tonnes,4869.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-08,64.7,Metric Tonnes,5092.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-09,57.8,Metric Tonnes,4650.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-12,47.8,Metric Tonnes,4859.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-16,29.1,Metric Tonnes,5068.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-18,53.7,Metric Tonnes,5007.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-19,94.9,Metric Tonnes,4407.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-20,52.4,Metric Tonnes,4629.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-21,51.6,Metric Tonnes,5089.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-22,41.2,Metric Tonnes,4749.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-23,30.6,Metric Tonnes,5699.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-25,63.5,Metric Tonnes,5319.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-27,32.9,Metric Tonnes,4958.09,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-28,74.7,Metric Tonnes,5684.23,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-29,68.3,Metric Tonnes,5877.77,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-01-30,72.4,Metric Tonnes,5610.65,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-01,102.1,Metric Tonnes,5789.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-02,69.9,Metric Tonnes,5689.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-03,58.5,Metric Tonnes,5329.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-04,63.5,Metric Tonnes,5239.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-05,88.7,Metric Tonnes,5679.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-06,64.5,Metric Tonnes,5615.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-08,72.1,Metric Tonnes,5619.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-09,77.1,Metric Tonnes,5559.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-10,62.6,Metric Tonnes,5675.89,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-11,1.6,Metric Tonnes,5100.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-12,3.3,Metric Tonnes,5319.0,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-15,120.2,Metric Tonnes,5553.22,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-16,107.8,Metric Tonnes,5461.21,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-17,65.9,Metric Tonnes,5310.2,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-18,105.3,Metric Tonnes,5295.28,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-19,90.2,Metric Tonnes,5755.89,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-20,73.7,Metric Tonnes,5024.73,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-22,61.2,Metric Tonnes,5423.9,Rs./Quintal
Andhra Pradesh,Oil Seeds,Groundnut,2021-02-23,61.4,Metric Tonnes,6116.39,Rs./Quintal
