State,Commodity Group,Commodity,Date,Arrival,Arrival Unit,Price,Price Unit
Andhra Pradesh,Cereals,Jowar,2021-01-01,1.0,Metric Tonnes,2350.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-02,1.0,Metric Tonnes,2350.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-03,1.0,Metric Tonnes,2350.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-04,1.0,Metric Tonnes,2400.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-05,1.01,Metric Tonnes,2399.5,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-06,1.01,Metric Tonnes,2399.01,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-07,1.01,Metric Tonnes,2300.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-08,1.01,Metric Tonnes,2349.5,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-09,1.01,Metric Tonnes,2300.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-10,1.01,Metric Tonnes,2300.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-11,1.01,Metric Tonnes,2300.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-12,1.01,Metric Tonnes,2300.5,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-13,1.0,Metric Tonnes,2300.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-14,1.0,Metric Tonnes,2300.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-15,1.01,Metric Tonnes,2299.5,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-16,1.01,Metric Tonnes,2349.01,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-17,1.01,Metric Tonnes,2299.5,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-18,1.01,Metric Tonnes,2299.5,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-19,1.01,Metric Tonnes,2349.5,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-20,1.01,Metric Tonnes,2399.01,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-21,1.01,Metric Tonnes,2399.01,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-22,1.01,Metric Tonnes,2399.01,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-23,1.01,Metric Tonnes,2399.01,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-24,1.01,Metric Tonnes,2399.01,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-25,1.01,Metric Tonnes,2399.01,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-26,1.01,Metric Tonnes,2399.01,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-27,1.01,Metric Tonnes,2399.01,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-28,1.01,Metric Tonnes,2349.5,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-29,1.01,Metric Tonnes,2350.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-30,1.01,Metric Tonnes,2350.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-01-31,1.01,Metric Tonnes,2350.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-01,1.0,Metric Tonnes,2400.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-02,1.0,Metric Tonnes,2400.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-03,1.0,Metric Tonnes,2300.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-04,1.01,Metric Tonnes,2300.0,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-05,1.01,Metric Tonnes,2200.99,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-06,1.01,Metric Tonnes,2200.99,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-07,1.01,Metric Tonnes,2200.99,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-08,1.01,Metric Tonnes,2200.99,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-09,1.01,Metric Tonnes,2201.09,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-10,1.01,Metric Tonnes,2102.08,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-11,1.01,Metric Tonnes,2201.09,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-12,1.01,Metric Tonnes,2102.18,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-13,1.01,Metric Tonnes,2102.18,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-14,1.01,Metric Tonnes,2102.18,Rs./Quintal
Andhra Pradesh,Cereals,Jowar,2021-02-15,1.01,Metric Tonnes,2102.18,Rs./Quintal
