State,Commodity Group,Commodity,Date,Arrival,Arrival Unit,Price,Price Unit
Andhra Pradesh,Cereals,Maize,2021-01-02,2.0,Metric Tonnes,1335.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-04,4.5,Metric Tonnes,1335.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-05,6.7,Metric Tonnes,1315.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-06,1.3,Metric Tonnes,1355.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-07,2.9,Metric Tonnes,1260.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-08,3.2,Metric Tonnes,1250.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-12,2.3,Metric Tonnes,1254.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-16,3.8,Metric Tonnes,1279.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-18,10.8,Metric Tonnes,1242.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-19,2.5,Metric Tonnes,1259.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-20,4.4,Metric Tonnes,1150.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-21,3.9,Metric Tonnes,1280.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-22,1.8,Metric Tonnes,1230.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-23,1.0,Metric Tonnes,1240.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-25,6.0,Metric Tonnes,1160.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-27,7.0,Metric Tonnes,1226.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-28,2.7,Metric Tonnes,972.59,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-29,7.6,Metric Tonnes,1299.01,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-30,1.9,Metric Tonnes,1328.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-01-31,0.1,Metric Tonnes,1310.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-02-01,3.4,Metric Tonnes,1289.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-02-03,2.0,Metric Tonnes,990.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-02-04,1.0,Metric Tonnes,1329.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-02-06,4.9,Metric Tonnes,1280.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-02-08,1.0,Metric Tonnes,1174.2,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-02-10,0.7,Metric Tonnes,1229.0,Rs./Quintal
