State,Commodity Group,Commodity,Date,Arrival,Arrival Unit,Price,Price Unit
Bihar,Pulses,Moong,2023-02-18,0.1,Metric Tonnes,1850.0,Rs./Quintal
Bihar,Pulses,Moong,2023-03-01,0.1,Metric Tonnes,5050.0,Rs./Quintal
Bihar,Pulses,Moong,2023-03-05,0.1,Metric Tonnes,14050.0,Rs./Quintal
Bihar,Pulses,Moong,2023-03-09,0.2,Metric Tonnes,1900.0,Rs./Quintal
Bihar,Pulses,Moong,2023-03-17,0.1,Metric Tonnes,1850.0,Rs./Quintal
Bihar,Pulses,Moong,2023-03-23,0.2,Metric Tonnes,2050.0,Rs./Quintal
Bihar,Pulses,Moong,2023-03-29,0.1,Metric Tonnes,1900.0,Rs./Quintal
Bihar,Pulses,Moong,2023-04-01,0.1,Metric Tonnes,1850.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2021-01-12,5.0,Metric Tonnes,4000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2021-01-19,0.8,Metric Tonnes,9200.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2021-06-26,3.5,Metric Tonnes,3200.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2022-05-13,0.5,Metric Tonnes,5500.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2022-05-19,0.2,Metric Tonnes,5500.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2022-05-20,0.1,Metric Tonnes,4500.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2022-05-23,0.2,Metric Tonnes,4700.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2022-05-24,0.4,Metric Tonnes,5661.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2022-05-27,0.7,Metric Tonnes,5510.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2022-05-28,0.2,Metric Tonnes,5200.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2022-06-14,1.2,Metric Tonnes,5500.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2022-07-11,40.0,Metric Tonnes,3000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2022-08-18,0.1,Metric Tonnes,4358.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2022-08-27,4.0,Metric Tonnes,4000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-02-28,5.0,Metric Tonnes,4000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-03-11,18.0,Metric Tonnes,4000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-05-30,0.8,Metric Tonnes,2500.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-07-22,0.3,Metric Tonnes,6810.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-08-07,1.1,Metric Tonnes,6100.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-08-30,0.1,Metric Tonnes,5000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-09-22,14.0,Metric Tonnes,4000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-10-09,13.0,Metric Tonnes,4000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-10-10,0.5,Metric Tonnes,4301.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-10-11,10.0,Metric Tonnes,4000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-10-18,14.0,Metric Tonnes,4000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-10-23,10.0,Metric Tonnes,4000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-10-25,12.3,Metric Tonnes,4000.0,Rs./Quintal
Chattisgarh,Pulses,Moong,2023-10-29,60.9,Metric Tonnes,5600.0,Rs./Quintal
