State,Commodity Group,Commodity,Date,Arrival,Arrival Unit,Price,Price Unit
Andhra Pradesh,Pulses,Urad,2021-04-20,0.01,Metric Tonnes,6900.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-10-14,4.9,Metric Tonnes,6900.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-11-05,2.2,Metric Tonnes,5676.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-11-06,1.3,Metric Tonnes,5950.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-11-09,0.2,Metric Tonnes,6051.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-11-11,0.3,Metric Tonnes,6160.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-11-15,0.6,Metric Tonnes,6309.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-11-22,0.7,Metric Tonnes,6150.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-11-26,0.3,Metric Tonnes,3500.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-01,0.8,Metric Tonnes,5774.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-02,0.2,Metric Tonnes,3001.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-07,0.3,Metric Tonnes,5490.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-10,0.1,Metric Tonnes,3700.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-11,3.6,Metric Tonnes,3891.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-14,1.1,Metric Tonnes,4400.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-15,0.8,Metric Tonnes,5109.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-16,0.3,Metric Tonnes,5409.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-17,1.9,Metric Tonnes,5110.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-18,0.9,Metric Tonnes,4609.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-20,0.5,Metric Tonnes,5892.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-21,3.6,Metric Tonnes,5092.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-22,1.7,Metric Tonnes,4592.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-23,3.0,Metric Tonnes,5392.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-24,4.2,Metric Tonnes,4692.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-27,7.2,Metric Tonnes,5149.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-28,18.9,Metric Tonnes,4411.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-30,3.3,Metric Tonnes,4600.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2021-12-31,4.5,Metric Tonnes,3500.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-01-03,6.1,Metric Tonnes,3001.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-01-04,6.3,Metric Tonnes,4811.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-01-05,7.2,Metric Tonnes,4572.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-01-06,8.8,Metric Tonnes,4301.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-01-07,3.6,Metric Tonnes,4801.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-01-08,6.5,Metric Tonnes,4011.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-01-10,11.1,Metric Tonnes,3549.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-01-11,11.6,Metric Tonnes,4501.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-01-12,12.5,Metric Tonnes,4640.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-01-17,5.3,Metric Tonnes,4008.0,Rs./Quintal
